file,text,speaker_id
0020.wav,"nˈo ənz ˈa ðə suptˈa ðˈɔŋz əl fˈed də tɾuβˈa rəfɾˈaɲʒ əpsˈurz i fˈinz i tˈot kˌontɾəðiktˈɔɾiz j əlɣˈunz nˈo tˈan əpsˈurs kwˈan əls pəʒˈɛzuz əlz βˈaŋ kumənsˈa ə ðˈi pərkˈɛ mˈol pɾuβˈabbləmˈen əl rˈɛʒim də plˈuʒəz ˈeɾə mˈez əβundˈan",99
0021.wav,"əl kəpˈitul dˈos",99
0022.wav,"əl kələndˈaɾj əl kuɱfˈormən əlz rəfɾˈaɲʃ kə pˈarlən dəl tɾənskˈurz ðəl tˈems",99
0023.wav,"əstˈa ðiβiðˈit ən sˈɛt pˈarz ləz ˈɔɾəs",99
0024.wav,"əl dˈiə j lə nˈit",99
0025.wav,"lə səmmˈanə",99
0026.wav,"ˈon tɾuβəɾˈɛw əl pɾimˈe ʎˈɔk",99
0027.wav,"əlz rəfɾˈaɲʃ kə fˈan rəfəɾˈɛnsiə ə ləs səmmˈanəz ən ʒənəɾˈal j ə kuntinuəsiˈo kˈaðə ðˈiə əm pərtikulˈar",99
0028.wav,"əlz mˈezus kˈaðə mˈez əm pərtikulˈar səɣˈid də ləs fˈestəs kə si səlˈeβɾən i wn əpərtˈat finˈal dənuminˈad ləs fˈestəz mˈɔβilz i ʒənəɾˈals",99
0029.wav,"kə kuntˈe tˈotəz əkˈɛʎəs fˈestəz ðəl kələndˈaɾi kə nˈo tˈenən dˈatə fˈiksə",99
0030.wav,"kˈɔm sˈon lə kwəɾˈɛzmə",99
0031.wav,"lə pˈaskwə",99
0032.wav,"ətsˈɛtəɾə j təmbˈe",99
0033.wav,"əlz rəfɾˈaɲʃ sˈoβɾə kərnəstˈɔltəs",99
0034.wav,"kˈans",99
0035.wav,"bˈɛjs",99
0036.wav,"fˈestəz məʒˈoz instɾumˈenz muzikˈals",99
0037.wav,"i ðˈaltɾəz rəfɾˈaɲʒ ðə kˈajɾə fəstˈiw",99
0038.wav,"ləz əstəsiˈons tˈotəs kwˈatɾə pəɾ səpəɾˈad lˈaɲ j əl tˈems kɾunulˈɔʒik",99
0039.wav,"ən əl kwˈal i fiɣˈuɾən əlz rəfɾˈaɲʃ kə pˈarlən",99
0040.wav,"dəl pˈaz ðəl tˈemz ən ʒənəɾˈal",99
0041.wav,"əkˈɛst ˈez əl kəpˈitul mˈez ʎˈarɡ də tˈodz ətˈɛz ə lə ɣɾˈaŋ kwəntitˈad də mətəɾiˈal kə kuntˈe",99
0042.wav,"əl kəpˈitul tɾˈɛs",99
0043.wav,"lə ðˈɔnə j lˈɔmə əl kuɱfiɣˈuɾən tɾˈɛz əpərtˈats",99
0044.wav,"lə ðˈɔnə",99
0045.wav,"lˈamə",99
0046.wav,"j əl kˈɔz i ləs sˈeβəs pˈars",99
0047.wav,"əmb əls kunsˈeptəz ðə βəʎˈɛzə j ʎəd‍ʒˈɛzə",99
0048.wav,"j əd‍ʒˈɛsə ləz rələsiˈonz əmuɾˈozəz i ðəmistˈat əs tɾˈɔβən ən əl kəpˈitul səɣwˈen əl rəfɾəɲˈe pupulˈar ðəðˈikə mˈol əspˈaj ə ləz ðˈɔnəz j əs pˈɔd dˈi",99
0049.wav,"kə nurmˈalmˈen ˈan səntˈit pəʒuɾətˈiw",99
0050.wav,"də fˈed numˈez lə rəspˈektə kˈɔm ə mˈaɾə j kwˈan ˈez ə kˈazə",99
0051.wav,"supəðitˈaðə əl məɾˈit",99
0052.wav,"pəɾ əʃˈɔ nˈo ˈez əstɾˈaɲ tɾuβˈa tˈantəs",99
0053.wav,"kumpəɾˈansəz ðə lə ðˈɔnə əmb əlz ənimˈalz ðə pid‍ʒˈo rəputəsiˈo w əmb əl dimˈɔni",99
0054.wav,"əl kəpˈitul kwˈatɾə",99
0055.wav,"ləmˈoɾ i ləmistˈat",99
0056.wav,"əstˈa ðiβiðˈit əŋ kwˈatɾə əpərtˈats",99
0057.wav,"ləmˈor",99
0058.wav,"j əl mətɾimˈɔni kuntˈe əlz rəfɾˈaɲʃ kə pˈarlən də ləmˈoɾ ən ʒənəɾˈal",99
0059.wav,"dəl fəstˈɛd‍ʒ əmuɾˈoz i ðə ləz rələsiˈonz mətɾimuniˈals",99
0060.wav,"əls pəɾˈenz numˈez əls kə tˈenən rələsiˈo əmb əl mətɾimˈɔni",99
0061.wav,"ˈez ə ðˈi sˈɔɣɾəʒ ʒˈɛndɾəz nˈɔɾəs kuɲˈadz i kuɲˈaðəz j əls pəɾˈens kˈɔm ə nˈɔm əɡɡlutinəðˈo",99
0062.wav,"əlz ˈaltɾəs pəɾˈens kˈɔm ˈaɾ əlz ˈaβiz əls kuzˈinz əlz ˈoŋkləz ətsˈɛtəɾə əls tɾuβəɾˈɛw ə ləpərtˈad lə fəmˈiliə j lə ʒˈen dˈinz ðəl kəpˈitul sˈiŋ",99
0063.wav,"əlz əmˈiɡz j əlz ənəmˈiks",99
0064.wav,"ˈon əz ðəfinˈɛʃən əls kunsˈeptəz ðəmistˈat j ənəmistˈat səkunsˈeʎə j sədbərtˈɛʃ sˈoβɾə ləs kunsəkwˈɛnsiəz əls pəɾˈiʎz ˈɔ əlz əβəntˈad‍ʒəs kə",99
0065.wav,"pˈɔrtə tənˈi əmˈiɡz j ənəmˈiks",99
0066.wav,"əl kəpˈitul sˈiŋ ləz rələsiˈons fəmiliˈarz i lə ʎˈar",99
0067.wav,"əstˈa ðiβiðˈit ən dˈuəs pˈarz lə fəmˈiliə",99
0068.wav,"i lə ʒˈen",99
0069.wav,"əmb əlz rəfɾˈaɲʒ rəfəɾˈenz əl pˈaz ðəlz ˈaɲʃ kˈɔm ləðˈat",99
0070.wav,"lə ʒuβəntˈud lə βəʎˈɛzə j ləz rələsiˈonz ˈentɾə pˈaɾəz i fˈiʎs",99
0071.wav,"əlz βəˈinz j əls kumbiðˈadz i lə kˈazə kˈɔm ə ləβitˈad‍ʒə əmb əlz rəfɾˈaɲʒ rəfəɾˈenz ə lə nətəðˈat ˈɔ lə βɾutˈisiə ðə lə kˈazə",99
0072.wav,"lə mənˈeɾə ðə fˈerlə ˈɔ ðə βˈiwɾəi j təmbˈe",99
0073.wav,"əlz rəfɾˈaɲʃ kə fˈan rəfəɾˈɛnsiə ə wbʒˈektəs kˈɔm əʎ ʎˈit",99
0074.wav,"ləs pˈɔrtəz ləs klˈawz əl fˈɔk",99
0075.wav,"ən əl səntˈid də ʎˈar ðə fˈɔk ətsˈɛtəɾə",99
0076.wav,"əl kəpˈitul sˈiz ˈez lə βˈiðə lə mˈɔrt i lə səlˈut",99
0077.wav,"əmb əlz əpərtˈadz lə βˈiðə lə mˈɔr lə səlˈud ləz mələltˈiəs",99
0078.wav,"əls kunsˈɛʎz ðə səlˈut əm lə jndikəsiˈo ðəlz əlimˈenz əðəkwˈadz ə ləstˈad də lə səlˈut əlz rəmˈɛjs kəzulˈanz i ðˈaltɾəz rəkumənəsiˈonz j əlz mˈed‍ʒəz ən əkˈɛd dərˈe sj iŋklˈɔwən əlz əputəkˈaɾiz əls sənəðˈoz əlz uspitˈalz ətsˈɛtəɾə",99
0079.wav,"əl kəpˈitul sˈɛt",99
0080.wav,"əlz əlimˈens kuntˈe ðˈoz əpərtˈats",99
0081.wav,"əl mənʒˈa",99
0082.wav,"j əl βˈɛwɾə",99
0083.wav,"təmbˈe i tɾuβəɾˈɛw əl rəfɾˈaɲ ʒˈoβɾə lə mənˈeɾə ðə kumpurtˈarsə ə tˈawlə j əls kə pˈarlən də lə kˈujnə j ðəl səʎˈe",99
0084.wav,"kˈɔm təmbˈe əls kə fˈan rəfəɾˈɛnsiə əls sˈestɾiz ðə lə kˈujnə sətɾˈis purˈo ˈɔʎəz ətsˈɛtəɾə",99
0085.wav,"əlz əlimˈens kə tˈenən rələsiˈo əm lə səlˈut əls tɾuβəɾˈɛw əl kəpˈitul əntəɾiˈor",99
0086.wav,"əl kəpˈitul βˈujt",99
0087.wav,"əlz ufˈisiz əŋɡlˈɔβə əlz rəfɾˈaɲʃ kə tˈenən rələsiˈo əmb əl tɾəβˈaʎ",99
0088.wav,"əstˈa ðiβiðˈit əŋ kˈinzə əpərtˈats",99
0089.wav,"əl tɾəβˈaʎ ˈon əs pˈarlə ðə lə fˈɛjnə ən ʒənəɾˈal",99
0090.wav,"əlz ˈamuz əls kɾiˈadz j əlz mˈosuz əlz βərβˈez əls kəsəðˈos",99
0091.wav,"əls furnˈez əlz məɾinˈez j əls pəskəðˈos",99
0092.wav,"əlz mulinˈes",99
0093.wav,"əls pəstˈos",99
0094.wav,"əls səβətˈes",99
0095.wav,"əls sˈastɾəz ləstəmˈen əkləziˈastik",99
0096.wav,"ləstəmˈen ʒuɾˈiðik ˈon i tɾuβəɾˈɛw əlz rəfɾˈaɲʒ ðəðikˈadz əlz ədbukˈats",99
0097.wav,"əlʒ ʒˈud‍ʒəz əls pɾukuɾəðˈoz ətsˈɛtəɾə",99
0098.wav,"kˈɔm təmbˈe əls kə fˈan rəfəɾˈɛnsiə ə ləz ʎˈejz j əls plˈedz lə pəʒəzˈiə j ləs fˈɛjnəz ðəl kˈam kə tɾˈaktə ləs fˈɛjnəz ðəl kˈam i tˈot əl kə sən dəɾˈiβə ləs filəðˈoɾəz i finˈalmˈen ˈaltɾəz ufˈisis",99
0099.wav,"əl kwˈal əŋɡlˈɔβə ˈunə sˈɛɾiə ðə fˈɛjnəz j ufˈisis kə nˈo əstˈa jŋklˈozə əŋ kˈab dəlz əpərtˈats pɾəsəðˈens",99
0100.wav,"əl kəpˈitul nˈɔw əls səntimˈenz i ləs kɾəˈɛnsəz j ˈa əlz rəfɾˈaɲʃ kə tˈenən ə βˈɛwɾə əm ləz mənˈeɾəz ðə pənsˈa",99
0101.wav,"dəktuˈa əls səntimˈenz ðələɣɾˈiə j ðə tɾistˈɛzə",99
0102.wav,"də kˈulpə ðə βərɣˈoɲə kunsˈɛʎs sˈoβɾə əl kumpurtəmˈen umˈa j ləs səntˈɛnsiəs sˈoβɾə əl βˈe j əl mˈal ə ləpərtˈat",99
0103.wav,"əls səntimˈenz i lə muɾˈal",99
0104.wav,"j əlz əpərtˈadz ðˈew j əl sˈɛl",99
0105.wav,"əmb əlz rəfɾˈaɲʃ kə pˈarlən də ðˈew j əl sˈɛl",99
0106.wav,"j əl diˈabblə j liɱfˈɛrn",99
0107.wav,"əmb əls kə sukˈupən dəl dimˈɔni j ðə liɱfˈɛrn",99
0108.wav,"əl kəpˈitul dˈɛw",99
0109.wav,"əl dinˈe j əl ʒˈɔk",99
0110.wav,"kuntˈe ðˈoz əpərtˈats",99
0111.wav,"əl pɾimˈe ˈez əl dinˈe lə rikˈɛzə j lə puβɾˈɛzə j əstˈa ðəðikˈat əlz rəfɾˈaɲʃ kə tɾˈaktən dəlz ðinˈez ðəlz əβˈarz ðəlz rˈiɡz ðəls pˈɔβɾəz i ðəlz ʎˈaðɾəs",99
0112.wav,"təmbˈe i sˈon əls kə fˈan rəfəɾˈɛnsiə ə ðˈɛwɾə",99
0113.wav,"ə pəɣˈa ə əstəlβiˈa ə kumpɾˈa",99
0114.wav,"ən əl səɣˈon əpərtˈat",99
0115.wav,"əl ʒˈɔk j ˈa əlz rəfɾˈaɲʒ rəfəɾˈenz əlʒ ʒˈɔɡz ðə kˈartəs",99
0116.wav,"təðˈawz əls kunsˈɛʎz ðəlʒ ʒuɣəðˈoz əls pəɾˈiʎs kə kumpˈɔrtə ləfisiˈo ðə ʒuɣˈa ətsˈɛtəɾə",99
0117.wav,"əl kəpˈitul ˈonzə",99
0118.wav,"ˈes",99
0119.wav,"əlz ənimˈals",99
0120.wav,"i tɾuβəɾˈɛw tˈotə lə fˈawnə ðˈez ðəlz ənimˈalz ðə kumpəɲˈiə fˈinz əlz mˈes səlβˈad‍ʒəs pəsˈam pəɾ pˈeʃuz usˈeʎz əɾˈaɡnidz insˈektəz əβiɾˈam j ˈaltɾəz ənimˈalz ðə ɣɾˈanʒə",99
0121.wav,"pəstiˈa ðə pəstˈuɾə j nətuɾˈalmˈen",99
0122.wav,"ləzˈe",99
0123.wav,"lə mˈulə",99
0124.wav,"j əl rˈuk",99
0125.wav,"tˈan əβundˈanz ən əl nˈɔstɾə rəfɾəɲˈe",99
0126.wav,"əl kəpˈitul əstˈa subdiβiðˈit əm bˈujt əpərtˈats kə sˈon əls səɣwˈens",99
0127.wav,"ənimˈalz ðə kˈarəɣə j ðə tˈir",99
0128.wav,"əlz usˈeʎs",99
0129.wav,"əls pˈeʃus",99
0130.wav,"kˈaβɾəs",99
0131.wav,"uβˈɛjəz i rəmˈadz insˈektəz i βəstiˈɔləs",99
0132.wav,"ɡˈajz i ɣəʎˈinəs",99
0133.wav,"ɡˈosuz i ɣˈats",99
0134.wav,"j ˈaltɾəz ənimˈals",99
0135.wav,"əl kəpˈitul dˈodzə",99
0136.wav,"lə ʒeuɣɾəfˈiə əstˈa ðiβiðˈit ən tɾˈɛz əpərtˈats",99
0137.wav,"ʒəntillˈisis",99
0138.wav,"bˈiləs",99
0139.wav,"siwtˈadz i pəˈizuz i ləspˈaj ʒeuɣɾˈafik",99
0140.wav,"suβˈim mˈolz ðəkˈɛdz rəfɾˈaɲʒ nˈo tˈenəŋ kˈap səntˈit",99
0141.wav,"numˈez lə jntənsiˈo ðə fˈe ˈunə rˈimə",99
0142.wav,"dˈaltɾəs sˈom pəɾ riðikulidzˈa əls pˈɔbbləz βəˈinz ðˈinz ðə ləspˈaj ʒeuɣɾˈafik",99
0143.wav,"i tɾuβəɾˈɛw əls kə fˈan rəfəɾˈɛnsiə əlz ʎˈɔks kuŋkɾˈedz ðə ðə lə ʒeuɣɾəfˈiə kˈɔm ə lə rˈiws",99
0144.wav,"pˈɔnz j ə tˈerməz mˈeʒ ʒənəɾˈals kˈɔm lə tˈɛrə əls kəmˈinz i pəɾ əkstənsiˈo əlz βiˈad‍ʒəs",99
0145.wav,"əl kəpˈitul tɾˈedzə rəfəɾˈɛnsiəz ðiβˈɛrsəz əplˈɛɣə kwˈatɾə əpərtˈats",99
0146.wav,"əl rəfɾˈanʃ əm nˈɔmz ðə pərsˈonə ˈon tɾuβəɾˈɛw rəfɾˈanʃ əm nˈɔmz reˈalz ðiminutˈiwz ðəɾiβˈats pərsunifikˈadz imbəntˈadz i ðə sˈans",99
0147.wav,"kˈɔm k əlz ˈe əɣɾupˈat ə pərtˈi ðəl nˈɔm də pˈilə",99
0148.wav,"ə ðifəɾˈɛnsiə ðə lə rˈestə ðə kəpˈitulz ðəʎ ʎˈiβɾə ən əkˈɛst əpərtˈad lə təmˈatikə ˈez ðiβˈɛrsə",99
0149.wav,"əl subʒˈektə subʒˈektəs kuŋkɾˈedz ðə lə βˈiðə kwutiðiˈanə lə flˈɔɾə kə rəkˈuʎ əl rəfɾˈaɲ ʒˈoβɾə ˈaβɾəs plˈantəz i βulˈɛdz i βˈaɾiə",99
0150.wav,"əm tˈodz əkˈɛʎz rəfɾˈans kə nˈo ˈe əŋkəβˈit əŋ kˈap ˈaltɾə ɣɾˈup",99
0151.wav,"əlz rəfɾˈaɲʒ əstˈan numəɾˈadz j urðənˈadz əlfəβˈɛtikəmˈen i sˈempɾə ˈa əstˈat pusˈibblə sˈa əfəʒˈit əlɣˈuŋ kuməntˈaɾi sˈoβɾə əl sˈew siɡnifikˈat",99
0152.wav,"də tˈotə mənˈeɾə lə məʒˈo pˈar ðə rəfɾˈanz əm siɡnifikˈat unˈiβuk əpəɾˈɛʃ sˈensə kuməntˈaɾi",99
0153.wav,"kwˈan əlz rəfɾˈaɲʒ ðə səntˈit əkˈiβuk sˈoβɾə əls kwˈalz nˈo ˈe tɾuβˈat kˈap intərpɾətəsiˈo βˈaliðə əpəɾˈɛʃən indikˈadz əmb un əstəɾˈisk",99
0155.wav,"kˈon un rəfɾˈaɲ",99
0156.wav,"pˈɔrtə wm mˈot ˈentɾə kləwðˈaturs siɡnifˈikə kə təmbˈe lˈe tɾuβˈat əmb əkˈɛd mˈot",99
0157.wav,"nˈo ˈe ənuməɾˈad ləz βəɾiˈanz ðə rəfɾˈaɲʃ kə sˈom mˈol similˈars",99
0158.wav,"ˈe jntəntˈad rəkuʎˈi rəfɾˈaɲʒ ðə tˈotə lˈaɾeə liŋɡwˈistikə kətəlˈanə ˈan rəzultˈat əspəsiˈalmˈeɱ fɾuktˈifərz ləs fˈɔnz βiβliuɣɾˈafikəz ðə məʎˈɔrkə mənˈɔrkə j əl pəˈiz βələnsiˈa j pəɾ əʃˈɔ βəwɾˈɛw ðərˈeɾə ðə fˈɔrsə rəfɾˈaɲʒ ˈentɾə pəɾˈɛntəziz ləz əβɾəβiətˈuɾəz βˈal",99
0159.wav,"pəˈiz βələnsiˈa",99
0160.wav,"mˈaj",99
0161.wav,"məʎˈɔrkə",99
0162.wav,"mˈɛn",99
0163.wav,"mənˈɔrkə",99
0164.wav,"i βˈal",99
0165.wav,"bəleˈars kwˈan nˈo səspəsifikˈaβə lˈiʎə ðˈon ˈeɾə",99
0166.wav,"ləz əntɾˈaðəz ðə lˈindəɡz əpəɾˈɛʃən ən ʒənəɾˈal ən lurtuɣɾəfˈiə muðˈɛrnə",99
0167.wav,"kwˈan ˈunə pəɾˈawlə nˈo fiɣˈuɾə ən əlz ðiksiunˈaɾiz nurmətˈiwz ˈe wptˈat pəɾ əfəʒˈiɾi lə pəɾˈawlə nurmətˈiβə ˈentɾə kləwðˈaturs",99
0168.wav,"təmbˈe",99
0169.wav,"j ˈa supəntɾˈaðəs pəɾ fəsilitˈa lə rəsˈɛrkə ðəl rəfɾˈaɲ",99
0170.wav,"ˈez əl kˈas pəɾ əɡzˈemplə ðə ləntɾˈaðə ˈaɲ",99
0171.wav,"ˈon tɾuβəɾˈɛw ləs supəntɾˈaðəz ˈaɲ də tɾəspˈaz ˈaɲ nˈɔw j kˈab dˈaɲ",99
0172.wav,"ən əl kˈaz ðə ləs pubbləsiˈonz j ˈa rəfɾˈaɲʃ kə pˈarləm pəɾ əɡzˈemplə ðəsplˈuɣəs",99
0173.wav,"sj ˈe puɣˈut əzβɾinˈa",99
0174.wav,"də kˈinəs plˈuɣəz əs tɾˈaktə w w indˈiku",99
0175.wav,"əsplˈuɣəz ðə ʎuβɾəɣˈat əsplˈuɣəz ðə fɾəŋkulˈi sinˈo",99
0176.wav,"əlz rəfɾˈaɲʃ kˈeðən əŋɡluβˈats sˈimpləmˈen ə əsplˈuɣəs",99
0177.wav,"finˈalmˈem bˈuʎ əɣɾəˈi lə kulləβuɾəsiˈo ðə tˈotəz əkˈɛʎəs pərsˈonəs kə mˈan əʒuðˈad dˈunə mənˈeɾə w ˈaltɾə ə lə kuɱfəksiˈo ðəkˈɛd ʎˈiβɾə suβɾətˈod dəl duktˈo ʒuˈam bˈɛɲ",99
0178.wav,"də lə ðuktˈoɾə kɾistˈinə ʒəlpˈi",99
0179.wav,"dəl pɾufəsˈo χosˈe enrˈike ɣərɣˈaʎu",99
0180.wav,"də lə filˈɔluɣə nˈuɾiə βiðˈal i kərβunˈeʎ",99
0181.wav,"dəl məteuɾˈɔlək əlfɾˈɛd roðɾˈiɣeθ pikˈo əl kwˈal dəðˈikw əl kəpˈitul dəl əl tˈemz məteuɾulˈɔʒiɡ dəls kurəktˈoz əntˈɔni fərˈɛt i kˈarmə əskərβəʒˈal",99
0182.wav,"i mˈol əspəsiˈalmˈen də fɾənsˈɛsɡ bˌaʎβərðˈu",99
0183.wav,"pəɾ lə kuɱfiˈansə",99
0184.wav,"kə ðˈez ðəl pɾimˈe mumˈem bˈa ðipuzitˈa əm mˈi pəl sˈew ɣiˈad‍ʒə",99
0185.wav,"pəls sˈews suɡʒəɾimˈenz i pəɾ ləs sˈeβəz βəluˈozəz rəfləksiˈonz i pərkˈɛ",99
0186.wav,"kwˈam mˈe səntˈid dəfəʎˈi ˈa əkunsəɣˈit iɱfˈondɾəm lənərʒˈiə j lilluziˈo nəsəsˈaɾiə pəɾ puðˈɛ səɣˈi əndəβˈan",99
0187.wav,"ə sˈe əl nˈuβul",99
0188.wav,"məɾinˈɛs səɾˈe",99
0189.wav,"əl sˈɛl βəsˈɛtəs",99
0190.wav,"ə lə tˈɛrə pəstˈɛtəs",99
0191.wav,"əl sˈɛl βəsˈɛtəz lˈajɣwə ə wt‍ʃˈɛtəs",99
0192.wav,"əl sˈɛl kəβɾˈɛtəz ə lə tˈɛrə pəstˈɛtəs",99
0193.wav,"əl sˈɛl ə ləs kəlˈɛtəs",99
0194.wav,"ə lə tˈɛrə məsˈɛtəs",99
0195.wav,"əl sˈɛl pənəɾˈɛts",99
0196.wav,"ˈajɣwə kˈap ə sˈɛdzə",99
0197.wav,"sˈɛl ətəβəʎˈat",99
0198.wav,"dˈins tɾˈɛz ðˈiəz muʎˈats",99
0199.wav,"sˈɛl βujðˈos",99
0200.wav,"tˈems pluʒˈos",99
0201.wav,"sˈɛl də pˈanʃə ðə βˈurə",99
0202.wav,"plˈuʒə səɣˈuɾə",99
0203.wav,"kwˈan əl sˈɛl j ˈa klut‍ʃˈɛtəs",99
0204.wav,"ə lə tˈɛrə j ˈa βəsˈɛtəs",99
0205.wav,"əl dəmətˈi",99
0206.wav,"k əl sˈɔl sˈurt j əl fˈa klˈuk",99
0207.wav,"pˈɔzət ə subblˈuk",99
0208.wav,"əl sˈɔl",99
0209.wav,"əl ɣˈaj j əlz əstˈɛls sˈon rəʎˈɔd‍ʒəz ðəls pəʒˈɛzus",99
0210.wav,"əl sˈɔl ˈes fləsˈaðə ðəl pˈɔbblə",99
0211.wav,"nˈo j ˈa rˈɛz mˈez βəɾˈatu k əl sˈɔl",99
0212.wav,"əl sˈɔl i lə səɾˈɛnə ət fəɾˈan turnˈa muɾˈɛnə",99
0213.wav,"sˈɔl əl βəlkˈo fuɾəʒˈit əl duktˈo",99
0214.wav,"ʒˈam",99
0215.wav,"ə lə kˈɔβə",99
0216.wav,"j əm lə tɾəmuntˈanə βˈen dəɣˈarβi ðəmˈanə",99
0217.wav,"sˈɔl rˈɔt‍ʃ",99
0218.wav,"plˈuʒə ðə βˈɔt‍ʃ",99
0219.wav,"əpˈɔɡ biŋɡˈut",99
0220.wav,"bˈuɲi rˈɛm",99
0221.wav,"əl təmˈa sˈensə βˈen nˈo pɾumˈɛt səɣˈu tˈems",99
0222.wav,"dˈaiɾes fɾˈɛts",99
0223.wav,"umˈidz i fˈɔrs",99
0224.wav,"ɡwˌarðətən si pˈɔts",99
0225.wav,"də βˈen əl mˈez βˈɔ ˈez ðulˈen",99
0226.wav,"lə tɾəmuntˈanə",99
0227.wav,"ˈajɣwə ðə mˈanə",99
0228.wav,"əl məstɾˈal",99
0229.wav,"ən əl sˈɛl nˈo ðˈeʃə ərˈɛl",99
0230.wav,"ɡərβˈi lˈajɣwə əsəsˈi",99
0231.wav,"mid‍ʒˈɔrn də ðˈiə nɔwʒˈɔrnz ðˈuɾə",99
0232.wav,"mˈid‍ʒ ʒˈorn də nˈit",99
0233.wav,"əβiˈat finˈit",99
0234.wav,"punˈen",99
0235.wav,"ˈajɣwə j βˈen",99
0236.wav,"pəɾˈawləs",99
0237.wav,"əl βˈen sə ləz əmpˈɔrtə",99
0238.wav,"kwˈan əl βˈem bˈentə kˈal βəntˈa",99
0239.wav,"bˈa əl mˈez βˈɔm bˈeŋ kə fˈɔrsə ðə rˈɛns",99
0240.wav,"tɾəmuntˈanə",99
0241.wav,"lˈajɣwə ðəmˈanə",99
0242.wav,"bərmˈɛʎ i punˈen səɲˈal də βˈen",99
0243.wav,"ʃəlˈɔk",99
0244.wav,"pəɾ ləs kˈɔβəz ɣərβˈi ə rˈɔβəs",99
0245.wav,"ʃəlˈɔk",99
0246.wav,"tɾˈɛz ðˈiəz u tɾˈɔβə pˈɔk",99
0247.wav,"bˈeŋ kəðˈinə j sˈopə",99
0248.wav,"ˈunə kinzˈɛnə",99
0249.wav,"bˈem punˈeɱ fˈa fuʒˈi tˈotə sə ʒˈen",99
0251.wav,"ˈarɡ də mətˈi lə plˈuʒə ˈez əʃˈi",99
0252.wav,"ˈarɡ də βəspɾˈaðə lə plˈuʒə ˈes pəzˈaðə",99
0253.wav,"ˈarɡ də sˈam mərtˈi ə lə pɾˈimə",99
0254.wav,"tˈapəd məɾinˈe əm lə kəput‍ʃˈinə",99
0255.wav,"ˈarɡ də sˈam mərtˈi ðubblˈat",99
0256.wav,"bˈɔn tˈemz əsəɣuɾˈat",99
0257.wav,"kwˈan lˈarɡ də sˈam mərtˈi sˈurt əl mətˈi",99
0258.wav,"fˈinz ə lə βəspɾˈaðə fəɾˈa əlɣˈunə ruʃˈaðə",99
0259.wav,"lˈarɡ də sˈam mərtˈi ə lə tˈarðə lə plˈuʒə j ˈes pəsˈaðə",99
